timestamp,action,confidence,fps
1778224466.1564083,squat,0.5004,0.81
1778224466.455784,squat,0.5003,3.3
1778224466.6162226,squat,0.5004,6.27
1778224466.75216,squat,0.5014,7.52
1778224466.9070218,squat,0.502,6.31
1778224467.0858915,squat,0.5023,5.71
1778224467.238112,squat,0.5029,6.34
1778224467.379672,squat,0.5031,7.32
1778224467.8179438,squat,0.5034,2.29
1778224468.0687819,squat,0.5034,3.94
1778224468.3195672,squat,0.5037,4.01
1778224468.5347207,squat,0.5045,4.68
1778224468.687058,squat,0.5049,6.49
1778224468.8631914,squat,0.5046,5.74
1778224469.0112803,squat,0.5046,6.72
1778224469.1701279,squat,0.5042,6.24
1778224469.3129497,squat,0.5039,6.99
1778224469.48794,squat,0.5034,5.73
1778224469.6508224,squat,0.5033,6.15
1778224469.8200684,squat,0.5033,5.87
1778224469.9629405,squat,0.5033,6.77
1778224470.11856,squat,0.5046,6.64
1778224470.261742,squat,0.5051,7.04
1778224470.40246,squat,0.5053,7.08
